,0
0,0.203243225812912
1,0.12850423157215118
2,0.04672810062766075
3,0.036459021270275116
4,0.05654892697930336
5,0.043506745249032974
6,0.012348105199635029
7,0.04280843585729599
8,0.015774892643094063
9,0.017034530639648438
10,0.011331076733767986
11,0.020565319806337357
12,0.011609087698161602
13,0.008680176921188831
14,0.011287659406661987
15,0.02363434247672558
16,0.008693626150488853
17,0.045032013207674026
18,0.02014184556901455
19,0.0038049996364861727
20,0.006045867223292589
21,0.0018495717085897923
22,0.0034582738298922777
23,0.010454743169248104
24,0.00203106296248734
25,0.00241837021894753
26,0.006421438883990049
27,0.0024416011292487383
28,0.006732502952218056
29,0.002315205056220293
30,0.001090236590243876
31,0.01236207876354456
32,0.0020199650898575783
33,0.0021873617079108953
34,0.002659737830981612
35,0.0026291306130588055
36,0.0006030547665432096
37,0.0010237371316179633
38,0.017923247069120407
39,0.001475822413340211
40,0.0008301716297864914
41,0.0005790484719909728
42,0.0014359564520418644
43,0.0011449389858171344
44,0.0008132740622386336
45,0.0021711443550884724
46,0.0013803860638290644
47,0.013532883487641811
48,0.002216220600530505
49,0.0017456111963838339
50,0.00019034762226510793
51,0.0003769912582356483
52,0.0016032346757128835
53,0.00013175091589801013
54,0.000634975905995816
55,0.006148803047835827
56,5.944874283159152e-05
57,0.000577326922211796
58,0.0008870462770573795
59,0.0013439723988994956
60,0.0002544403832871467
61,0.005937714595347643
62,0.0007155611529015005
63,0.00017297898011747748
64,0.0004946380504406989
65,0.0007495053578168154
66,7.063331577228382e-05
67,9.086397767532617e-05
68,0.00036142102908343077
69,0.0017685485072433949
70,0.0006540900212712586
71,9.500508167548105e-05
72,2.5319268388557248e-05
73,0.00032271520467475057
74,0.00018857223039958626
75,7.411336264340207e-05
76,0.00042949963244609535
77,6.560423935297877e-05
78,4.290037031751126e-05
79,1.4294094398792367e-05
80,3.902868047589436e-05
81,1.1122489013359882e-05
82,1.313102438871283e-05
83,1.6059855624916963e-05
84,1.1952021850447636e-05
85,1.0125258086191025e-05
86,9.629028681956697e-06
87,1.8206530512543395e-05
88,1.775847158569377e-05
89,6.669231879641302e-06
90,5.710510777134914e-06
91,1.6196456272155046e-05
92,1.974847918972955e-06
93,2.9315995107026538e-06
94,1.5138602975639515e-06
95,1.5560333395114867e-06
96,1.15320181066636e-05
97,8.296759119730268e-07
98,2.092239583362243e-06
99,5.960367843726999e-07
