,0
0,0.9373999834060669
1,0.9613000154495239
2,0.9728999733924866
3,0.9728999733924866
4,0.9800000190734863
5,0.9771000146865845
6,0.982699990272522
7,0.9810000061988831
8,0.9829999804496765
9,0.9825000166893005
10,0.9818000197410583
11,0.9821000099182129
12,0.9850999712944031
13,0.9853000044822693
14,0.9843000173568726
15,0.9839000105857849
16,0.9864000082015991
17,0.9847999811172485
18,0.984499990940094
19,0.9860000014305115
20,0.9864000082015991
21,0.9864000082015991
22,0.9876999855041504
23,0.9869999885559082
24,0.9861000180244446
25,0.9868999719619751
26,0.9865999817848206
27,0.987500011920929
28,0.9855999946594238
29,0.9846000075340271
30,0.9842000007629395
31,0.9873999953269958
32,0.9879000186920166
33,0.9884999990463257
34,0.9884999990463257
35,0.9876999855041504
36,0.9876999855041504
37,0.9865999817848206
38,0.9871000051498413
39,0.9894000291824341
40,0.9848999977111816
41,0.9878000020980835
42,0.987500011920929
43,0.988099992275238
44,0.9855999946594238
45,0.9876999855041504
46,0.9873999953269958
47,0.9878000020980835
48,0.983299970626831
49,0.9883999824523926
50,0.9882000088691711
51,0.9843999743461609
52,0.9886000156402588
53,0.98580002784729
54,0.9872999787330627
55,0.9871000051498413
56,0.9890000224113464
57,0.9890000224113464
58,0.9865999817848206
59,0.989300012588501
60,0.98580002784729
61,0.9868000149726868
62,0.9864000082015991
63,0.9878000020980835
64,0.9879000186920166
65,0.9898999929428101
66,0.9897000193595886
67,0.9900000095367432
68,0.9868999719619751
69,0.9887999892234802
70,0.989799976348877
71,0.9896000027656555
72,0.9894999861717224
73,0.9879999756813049
74,0.9896000027656555
75,0.9883999824523926
76,0.9902999997138977
77,0.9905999898910522
78,0.9901999831199646
79,0.9904000163078308
80,0.9905999898910522
81,0.9905999898910522
82,0.9904999732971191
83,0.9904999732971191
84,0.9904999732971191
85,0.9904000163078308
86,0.9904000163078308
87,0.9904000163078308
88,0.9904000163078308
89,0.9904999732971191
90,0.9902999997138977
91,0.9904999732971191
92,0.9902999997138977
93,0.9904999732971191
94,0.9904999732971191
95,0.9902999997138977
96,0.9904999732971191
97,0.9907000064849854
98,0.9904000163078308
99,0.9907000064849854
